W (m),L (m),Vbias (V),Gain (dB),fc (Hz),Power (W)
1e-05,1.8e-07,0.7,nan,nan,nan
1e-05,1.8e-07,1.0,nan,nan,nan
1e-05,1.8e-07,1.2,nan,nan,nan
1e-05,5e-07,0.7,nan,nan,nan
1e-05,5e-07,1.0,nan,nan,nan
1e-05,5e-07,1.2,nan,nan,nan
2e-05,1.8e-07,0.7,nan,nan,nan
2e-05,1.8e-07,1.0,nan,nan,nan
2e-05,1.8e-07,1.2,nan,nan,nan
2e-05,5e-07,0.7,nan,nan,nan
2e-05,5e-07,1.0,nan,nan,nan
2e-05,5e-07,1.2,nan,nan,nan
3e-05,1.8e-07,0.7,nan,nan,nan
3e-05,1.8e-07,1.0,nan,nan,nan
3e-05,1.8e-07,1.2,nan,nan,nan
3e-05,5e-07,0.7,nan,nan,nan
3e-05,5e-07,1.0,nan,nan,nan
3e-05,5e-07,1.2,nan,nan,nan
